Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,,,
2016-03-23,10022.9296875,0.0,10112.169921875,9964.6298828125,10046.9404296875,0.0,83248100
2016-03-24,9851.349609375,0.0,9977.990234375,9845.3701171875,9974.599609375,0.0,73414500
2016-03-29,9887.9404296875,0.0,9947.0302734375,9808.48046875,9900.8798828125,0.0,67558000
2016-03-30,10046.6103515625,0.0,10097.7001953125,9947.259765625,9951.6796875,0.0,89486700
2016-03-31,9965.509765625,0.0,10021.33984375,9947.01953125,9997.4404296875,0.0,84529500
2016-04-01,9794.6396484375,0.0,9851.3095703125,9675.5,9833.259765625,0.0,97643700
2016-04-04,9822.080078125,0.0,9907.0498046875,9732.8203125,9789.76953125,0.0,73483200
2016-04-05,9563.3603515625,0.0,9661.2998046875,9553.169921875,9647.8095703125,0.0,93710900
2016-04-06,9624.509765625,0.0,9635.91015625,9505.900390625,9582.4599609375,0.0,92588500
2016-04-07,9530.6201171875,0.0,9702.1796875,9484.75,9648.5498046875,0.0,83206400
2016-04-08,9622.259765625,0.0,9675.0302734375,9572.5703125,9576.400390625,0.0,78334700
2016-04-11,9682.990234375,0.0,9751.9296875,9524.66015625,9595.5595703125,0.0,78479700
2016-04-12,9761.4697265625,0.0,9770.4697265625,9617.830078125,9716.75,0.0,75912900
2016-04-13,10026.099609375,0.0,10026.099609375,9893.419921875,9901.1298828125,0.0,106641000
2016-04-14,10093.650390625,0.0,10098.4404296875,10016.169921875,10042.2802734375,0.0,82082700
2016-04-15,10051.5703125,0.0,10070.0400390625,10020.33984375,10063.8896484375,0.0,81966400
2016-04-18,10120.3095703125,0.0,10147.849609375,9920.900390625,9933.7001953125,0.0,66507700
2016-04-19,10349.58984375,0.0,10370.7998046875,10150.669921875,10170.1796875,0.0,99464200
2016-04-20,10421.2900390625,0.0,10440.1298828125,10304.1396484375,10312.6396484375,0.0,96317900
2016-04-21,10435.73046875,0.0,10474.3798828125,10341.9697265625,10456.990234375,0.0,101414400
2016-04-22,10373.490234375,0.0,10422.8603515625,10324.830078125,10377.2197265625,0.0,83529500
2016-04-25,10294.349609375,0.0,10399.2998046875,10233.419921875,10379.16015625,0.0,75159700
2016-04-26,10259.58984375,0.0,10385.23046875,10213.5498046875,10359.76953125,0.0,79903800
2016-04-27,10299.830078125,0.0,10323.25,10220.5703125,10283.099609375,0.0,99071900
2016-04-28,10321.150390625,0.0,10331.9296875,10125.51953125,10222.1103515625,0.0,93064300
2016-04-29,10038.9697265625,0.0,10252.080078125,10038.9697265625,10235.4697265625,0.0,112470200
2016-05-02,10123.26953125,0.0,10153.900390625,10066.33984375,10091.169921875,0.0,62290300
2016-05-03,9926.76953125,0.0,10061.9501953125,9918.4296875,10052.5498046875,0.0,125616200
