Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,,
2021-01-04,208.4065399169922,0.0,213.4900908644091,205.64935379985505,213.04013300201316,0.0,37130100
2021-01-05,208.60757446289062,0.0,209.2011442852732,206.5013971335944,207.9948680651304,0.0,23823000
2021-01-06,203.19850158691406,0.0,207.2576901048468,202.90172401611616,203.12191147056765,0.0,35930700
2021-01-07,208.98094177246094,0.0,209.98616708451945,204.59627029591414,204.9121844778068,0.0,27694500
2021-01-08,210.25425720214844,0.0,211.17332424076446,207.77471176782262,209.3543413498572,0.0,22956200
2021-01-11,208.21505737304688,0.0,209.5744991531238,207.48745852732125,209.15326079150833,0.0,23031300
2021-01-12,205.76422119140625,0.0,207.84169356915027,204.22289427900293,207.26727495468438,0.0,23249300
2021-01-13,207.11412048339844,0.0,207.51620772033212,204.80689205921024,204.89306508775417,0.0,20087100
2021-01-14,203.93565368652344,0.0,208.1863098788865,203.6675956030474,206.7024075258848,0.0,29480800
2021-01-15,203.5814666748047,0.0,205.36214696231852,202.98791144832447,204.41437517914176,0.0,31746500
2021-01-19,207.2098388671875,0.0,207.7268039408653,203.5623200569144,204.63455257006677,0.0,30480900
2021-01-20,214.77293395996094,0.0,216.16109525037086,208.02358090402097,208.4160998078411,0.0,37777300
2021-01-21,215.37606811523438,0.0,216.64935150148284,212.93481093432405,215.11757827987228,0.0,30709400
2021-01-22,216.31427001953125,0.0,220.25858092455158,216.17067267204894,217.39608539747118,0.0,30172700
2021-01-25,219.74159240722656,0.0,219.9809310487722,214.65804199808883,219.3490735291546,0.0,33152100
2021-01-26,222.42222595214844,0.0,224.1933234360386,220.26817781179568,221.97226806085106,0.0,49169600
2021-01-27,222.96792602539062,0.0,230.18638936387475,220.32563204875703,227.85044132559767,0.0,69870600
2021-01-28,228.74072265625,0.0,232.29251457356312,225.064484577097,225.56231304867134,0.0,49111200
2021-01-29,222.0679931640625,0.0,227.86956006122185,221.4840062376579,225.9261312717925,0.0,42503100
2021-02-01,229.43002319335938,0.0,232.15848963643907,222.5179218384246,225.03576910164196,0.0,33314200
2021-02-02,229.2960205078125,0.0,231.97661660777806,228.51099724463657,231.0096936130651,0.0,25916300
2021-02-03,232.6371612548828,0.0,234.63802880665224,229.0566498927126,229.35344208114293,0.0,27158100
2021-02-04,231.6893310546875,0.0,232.86688747417756,230.11927043676945,232.3116201740754,0.0,25296100
2021-02-05,231.8712921142578,0.0,232.90523688390178,230.16720201467962,231.9000115849641,0.0,18054800
2021-02-08,232.1297607421875,0.0,233.28815157632502,230.54054867068731,232.78075482945962,0.0,22211900
2021-02-09,233.37432861328125,0.0,234.3221002924528,231.08625176555742,231.55534615768994,0.0,23565000
2021-02-10,232.46482849121094,0.0,235.4326186992125,230.61712669579214,234.5518543054015,0.0,22186700
2021-02-11,234.06362915039062,0.0,234.69547207814844,231.8234083059105,234.3412555541554,0.0,15751100
2021-02-12,234.54229736328125,0.0,234.8390749376285,232.37866672281444,233.52748926560795,0.0,16561100
2021-02-16,233.3073272705078,0.0,235.6337066860198,232.56059180579354,234.5806107188213,0.0,26728500
2021-02-17,234.324462890625,0.56,234.43001503747345,231.19630371213563,231.56094106337903,0.0,21653500
2021-02-18,233.93106079101562,0.0,234.06539856792395,231.11955780224875,232.02154629365586,0.0,16925600
2021-02-19,231.22508239746094,0.0,233.9982091087317,230.46702209962763,233.89265696504796,0.0,25262600
2021-02-22,225.02630615234375,0.0,228.30799807606732,223.0016349040027,227.81862797364326,0.0,36446900
2021-02-23,223.8364715576172,0.0,225.33338218803956,219.48006278270333,221.01536399641307,0.0,30228700
2021-02-24,225.06471252441406,0.0,225.68842042273627,219.73915368791364,220.70830363621744,0.0,26339700
2021-02-25,219.7295684814453,0.0,225.1030937109058,218.66445668933272,222.69460427185766,0.0,39542200
2021-02-26,222.9824676513672,0.0,225.8515415247869,220.2573072215553,222.166836123275,0.0,37819200
2021-03-01,227.35800170898438,0.0,227.86656700875446,223.7212634615181,226.36005175499895,0.0,25324000
2021-03-02,224.41220092773438,0.0,227.70349799818933,224.00918764921863,227.4252175123957,0.0,22812500
2021-03-03,218.35739135742188,0.0,224.1339445433861,218.06952053441296,222.77137159897669,0.0,34029500
2021-03-04,217.56092834472656,0.0,223.08800061349675,215.19081513202866,217.57053331073425,0.0,44727800
2021-03-05,222.23399353027344,0.0,223.8364561921573,217.3018581200775,220.23810794614715,0.0,41872800
2021-03-08,218.1942901611328,0.0,223.93245334526267,217.94480989807317,222.01333385234915,0.0,35267400
2021-03-09,224.32583618164062,0.0,225.86113735770795,222.30116489353895,223.46223842117595,0.0,33080500
2021-03-10,223.02084350585938,0.0,227.41562829059083,222.6562061675543,227.41562829059083,0.0,29746800
2021-03-11,227.54034423828125,0.0,229.49783913564707,224.83437947593785,225.4581019231332,0.0,29907600
2021-03-12,226.21615600585938,0.0,226.2833322000355,223.7980619246952,224.54651717619805,0.0,22653700
2021-03-15,225.314208984375,0.0,225.6788463527636,222.43552990775498,225.45815172323736,0.0,26034900
2021-03-16,228.09689331054688,0.0,230.35184933196322,226.39846890984123,226.724715623145,0.0,28092200
2021-03-17,227.4540252685547,0.0,228.90296978894895,223.7981051474322,226.6000177196356,0.0,29562100
2021-03-18,221.38958740234375,0.0,224.71926031527957,221.01535975192502,223.15517351500054,0.0,34833000
2021-03-19,221.03456115722656,0.0,223.06882283713475,220.07500155097284,221.67746433641042,0.0,46430700
2021-03-22,226.4464874267578,0.0,227.31967558191016,220.83305760883877,220.95780504888268,0.0,30127000
2021-03-23,227.97218322753906,0.0,231.30185638179913,227.48281307743645,227.8858263731183,0.0,31638400
2021-03-24,225.9379425048828,0.0,228.37521779869715,225.8036047271406,228.2312896945875,0.0,25620100
2021-03-25,222.94406127929688,0.0,227.35804104512198,222.20521097132493,225.78436397622824,0.0,34061900
2021-03-26,226.9166259765625,0.0,227.1373352031275,222.18600467967124,222.18600467967124,0.0,25479900
