Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,
2021-03-04,116.89838409423828,0.0,120.27503892466773,115.42900990064756,118.47480719948628,0.0,178155000
2021-03-05,118.1536865234375,0.0,118.65970219404976,114.40725661331615,117.72552798386944,0.0,153766600
2021-03-08,113.22978973388672,0.0,117.74496808125187,113.08382341259126,117.67685145453473,0.0,154376600
2021-03-09,117.83255004882812,0.0,118.77645723226702,115.59442688495044,115.827968557669,0.0,129525800
2021-03-10,116.75242614746094,0.0,118.88350799775948,116.23667741969722,118.41642461584055,0.0,111943300
2021-03-11,118.67916107177734,0.0,119.89553490297892,117.99799469596714,119.24356031125248,0.0,103026500
2021-03-12,117.77417755126953,0.0,117.91041082516712,115.9544870681418,117.16112781873039,0.0,88105100
2021-03-15,120.65455627441406,0.0,120.66428934425417,117.18059275719496,118.14396621912681,0.0,92403800
2021-03-16,122.1920394897461,0.0,123.79765430298438,121.36490683570095,122.31853968534864,0.0,115227900
2021-03-17,121.40383911132812,0.0,122.47424657756945,119.04893377660937,120.71293967926185,0.0,111932600
2021-03-18,117.28760528564453,0.0,119.86631876877308,117.08325541441393,119.5743861389264,0.0,121229700
2021-03-19,116.76214599609375,0.0,118.16341092060107,116.4604876842397,116.67457065039011,0.0,185549500
2021-03-22,120.0707015991211,0.0,120.53779245026008,117.02490398115997,117.09302062360135,0.0,111912300
2021-03-23,119.24356079101562,0.0,120.89782623844285,118.8543196786337,120.0123099463268,0.0,95467100
2021-03-24,116.8594741821289,0.0,119.59388786129526,116.84001546562122,119.51603814694975,0.0,88530500
2021-03-25,117.34600830078125,0.0,118.38723138862223,115.79878440882977,116.32425877519718,0.0,98844700
2021-03-26,117.94932556152344,0.0,118.2120664416162,115.72092802368101,117.1124598512715,0.0,94071200
2021-03-29,118.12448120117188,0.0,119.28247132989765,117.48223975334861,118.37748900748083,0.0,80819200
2021-03-30,116.67456817626953,0.0,117.16111766205535,115.66254435493632,116.87891806940085,0.0,85671900
2021-03-31,118.86405181884766,0.0,120.19719278132602,117.89095275757859,118.37750228821312,0.0,118323800
2021-04-01,119.69117736816406,0.0,120.83943448866229,119.19489479787379,120.33342627373456,0.0,75089100
2021-04-05,122.5131607055664,0.0,122.76616851425374,119.75928886344587,120.53777100210417,0.0,88651200
2021-04-06,122.8148193359375,0.0,123.71006860087718,122.26988629191437,123.09701892635115,0.0,80171300
2021-04-07,124.45938110351562,0.0,124.47883981962588,121.77362540670963,122.44506618695044,0.0,83466700
2021-04-08,126.85320281982422,0.0,126.88239460577601,125.06270398931379,125.48112948683244,0.0,88844600
2021-04-09,129.42218017578125,0.0,129.46109760648577,125.9871415439433,126.30826602843275,0.0,106686700
2021-04-12,127.70954132080078,0.0,129.27623158953074,127.1159502289636,128.95510707935833,0.0,91420000
2021-04-13,130.813720703125,0.0,131.03754421397457,128.38097265896974,128.87726276289945,0.0,91266500
2021-04-14,128.47825622558594,0.0,131.36836136344672,128.11821435701262,131.3099778007929,0.0,87222800
2021-04-15,130.88182067871094,0.0,131.36837019796266,130.04495491166549,130.22012045971883,0.0,89347100
