Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
1986-03-13,0.05925342068076134,0.0618991081671409,0.05396326266094622,0.05396326266094622,1031788800
1986-03-14,0.061369478702545166,0.06242811869351785,0.05925341567344097,0.05925341567344097,308160000
1986-03-17,0.06242809444665909,0.0629571099984673,0.0613694548668584,0.0613694548668584,133171200
1986-03-18,0.06084045022726059,0.0629571212903192,0.060311434580569284,0.0624281056436279,67766400
1986-03-19,0.059782400727272034,0.06136944718401425,0.05925338524169129,0.06084043169843351,47894400
1986-03-20,0.058195389807224274,0.059782437233088265,0.05766637399860294,0.059782437233088265,58435200
1986-03-21,0.05660834535956383,0.05925342454182989,0.0555503136866574,0.058195392868923466,59990400
1986-03-24,0.055021267384290695,0.056608314014884226,0.05449225184075952,0.056608314014884226,65289600
1986-03-25,0.05607929825782776,0.05607929825782775,0.054492251633277006,0.05502126717479392,32083200
1986-03-26,0.057666338980197906,0.0581953544675698,0.055550277030710304,0.056079292518082205,22752000
1986-03-27,0.05872439965605736,0.05872439965605736,0.057666368146191596,0.057666368146191596,16848000
1986-03-31,0.058195389807224274,0.058724405615845604,0.05713735818998161,0.058724405615845604,12873600
1986-04-01,0.057666338980197906,0.0581953544675698,0.0576663389801979,0.0581953544675698,11088000
1986-04-02,0.058195389807224274,0.059253421424466934,0.05766637399860294,0.05766637399860294,27014400
1986-04-03,0.05872439965605736,0.06031144692085601,0.05872439965605736,0.05872439965605736,23040000
1986-04-04,0.05872439965605736,0.059253415410990246,0.05872439965605736,0.05872439965605736,26582400
1986-04-07,0.057666338980197906,0.0592533854423136,0.056608308005454105,0.0587243699549417,16560000
1986-04-08,0.058195389807224274,0.059253421424466934,0.05766637399860294,0.05766637399860294,10252800
1986-04-09,0.05925342068076134,0.05978243648274285,0.05819538907679831,0.05819538907679831,12153600
1986-04-10,0.059782400727272034,0.06031141621285277,0.05819535427052981,0.05925338524169129,13881600
1986-04-11,0.06084045022726059,0.06189908999693659,0.060311434580569284,0.060311434580569284,17222400
1986-04-14,0.061369478702545166,0.061899102936241804,0.06084046294526912,0.06084046294526912,12153600
1986-04-15,0.061369478702545166,0.06136947870254517,0.05925341567344097,0.06136947870254517,9302400
1986-04-16,0.06348612159490585,0.06401513711375487,0.060840435524514444,0.06136945104336346,31910400
1986-04-17,0.06401516497135162,0.06401516497135162,0.06348614922228986,0.06348614922228986,22003200
1986-04-18,0.06189907342195511,0.0640151354420933,0.061369449440790105,0.0640151354420933,21628800
1986-04-21,0.06189907342195511,0.06242808892698966,0.06031141843072101,0.061899073421955116,22924800
1986-04-22,0.06084045022726059,0.06189908999693659,0.06084045022726059,0.06189908999693659,15552000
1986-04-23,0.06110493838787079,0.061369448406362874,0.060311417414127676,0.060840432910245275,15609600
1986-04-24,0.06718921661376953,0.06824724743710195,0.06084042319775201,0.061104928633152186,62352000
1986-04-25,0.07142196595668793,0.07433155370719682,0.06771824868769188,0.06771824868769188,85795200
1986-04-28,0.07195097953081131,0.07247999505817573,0.07089233999992631,0.07142196400344687,28886400
1986-04-29,0.06983432918787003,0.07195100038703715,0.06930531350716136,0.07195100038703715,30326400
1986-04-30,0.06824728846549988,0.07036335138428369,0.06666024127641203,0.06983433565458774,30902400
1986-05-01,0.06718921661376953,0.06824724743710195,0.06613118579043713,0.06824724743710195,54345600
1986-05-02,0.06718921661376953,0.06824724743710195,0.06666020120210334,0.06718921661376953,20246400
1986-05-05,0.06666021049022675,0.0671892259756035,0.06666021049022675,0.0671892259756035,3254400
1986-05-06,0.06718921661376953,0.06824724743710195,0.06718921661376953,0.06718921661376953,9734400
1986-05-07,0.06718921661376953,0.06771823202543574,0.06613118579043713,0.06718921661376953,5155200
1986-05-08,0.0677182599902153,0.0677182599902153,0.06666022872996069,0.067189244360088,3542400
1986-05-09,0.06718921661376953,0.06771823202543574,0.06718921661376953,0.06771823202543574,6076800
1986-05-12,0.0677182599902153,0.06930530688059722,0.067189244360088,0.067189244360088,10483200
1986-05-13,0.06824728846549988,0.06877630419519584,0.06771827273580393,0.06771827273580393,3830400
1986-05-14,0.0677182599902153,0.0682472756203426,0.0677182599902153,0.0682472756203426,9302400
1986-05-15,0.0677182599902153,0.06877629125046991,0.0677182599902153,0.0677182599902153,3801600
1986-05-16,0.06824728846549988,0.06983433565458774,0.06771827273580393,0.06771827273580393,11952000
1986-05-19,0.06718921661376953,0.06824724743710195,0.06666020120210334,0.06824724743710195,11001600
1986-05-20,0.06666021049022675,0.0671892259756035,0.06613119500484999,0.0671892259756035,61977600
1986-05-21,0.06560216844081879,0.06718921462893451,0.06560216844081879,0.06666019923289593,8092800
1986-05-22,0.06560216844081879,0.06613118383685736,0.06560216844081879,0.06560216844081879,4406400
1986-05-23,0.06560216844081879,0.06666019923289593,0.06560216844081879,0.06560216844081879,4089600
1986-05-27,0.0677182599902153,0.0677182599902153,0.0656021974697061,0.0656021974697061,13881600
1986-05-28,0.06983432918787003,0.06983432918787003,0.0677182664650354,0.0677182664650354,15523200
1986-05-29,0.07142196595668793,0.07247999704035171,0.06930529531318758,0.06983431085501947,45676800
1986-05-30,0.07406707853078842,0.07512511011249005,0.07195101536738514,0.07195101536738514,27072000
1986-06-02,0.07195097953081131,0.07406704164026902,0.07195097953081131,0.07406704164026902,19728000
1986-06-03,0.07195097953081131,0.07195097953081131,0.07089233999992631,0.07195097953081131,5011200
1986-06-04,0.07142196595668793,0.07247999704035171,0.07089234193868325,0.07195098149851982,4723200
1986-06-05,0.0724799856543541,0.0724799856543541,0.07089233080209288,0.0714219547368981,13708800
1986-06-06,0.0724799856543541,0.0724799856543541,0.0714219547368981,0.0724799856543541,3427200
1986-06-09,0.06930533051490784,0.07248003385457448,0.06930533051490784,0.07248003385457448,12672000
1986-06-10,0.06930533051490784,0.06930533051490784,0.06824729889384623,0.06930533051490784,3427200
1986-06-11,0.06930533051490784,0.06930533051490784,0.06824729889384623,0.06930533051490784,2304000
1986-06-12,0.06666021049022675,0.06930528791711055,0.06613119500484999,0.06930528791711055,13708800
1986-06-13,0.06666021049022675,0.0671892259756035,0.06613119500484999,0.06666021049022675,7891200
1986-06-16,0.06613121181726456,0.06718924305699939,0.06560219619739714,0.06666022743713197,9590400
1986-06-17,0.06718921661376953,0.06824724743710195,0.06666020120210334,0.06666020120210334,13075200
1986-06-18,0.06666021049022675,0.0671892259756035,0.06560217951947322,0.0671892259756035,4348800
1986-06-19,0.06613121181726456,0.06718924305699939,0.06560219619739714,0.06666022743713197,8467200
1986-06-20,0.06639573723077774,0.06666024283136142,0.0661312270893254,0.0661312270893254,3801600
1986-06-23,0.06718921661376953,0.06718921661376953,0.06507315496710471,0.06639569576670315,46195200
1986-06-24,0.06666021049022675,0.06771824146098027,0.06613119500484999,0.0671892259756035,14572800
1986-06-25,0.06560216844081879,0.06718921462893451,0.06560216844081879,0.06666019923289593,15235200
1986-06-26,0.06348612159490585,0.0661311991891509,0.06348612159490585,0.0656021836703019,19152000
1986-06-27,0.06295711547136307,0.06401514666695472,0.06242809987356725,0.06348613106915889,10396800
